Date,x
2017-04-04,1.0
2017-04-05,11.0
2017-04-06,2.0
2017-04-07,10.0
2017-04-19,6.0
2017-04-20,1.0
2017-04-25,2.0
2017-04-26,10.0
2017-04-27,2.0
2017-05-15,4.0
2017-05-16,10.0
2017-05-22,2.0
2017-05-23,12.0
2017-05-24,3.0
2017-05-25,5.0
2017-05-29,2.0
2017-05-31,1.0
2017-06-01,102.0
2017-06-02,8.0
2017-06-05,3.0
2017-06-06,1.0
2017-06-07,8.0
2017-06-09,2.0
2017-06-12,17.0
2017-06-13,8.0
2017-06-14,7.0
2017-06-15,1.0
2017-06-19,2.0
2017-06-21,3.0
2017-06-23,3.0
2017-06-24,1.0
2017-06-26,5.0
2017-06-27,9.0
2017-06-28,4.0
2017-06-29,2.0
2017-07-03,1.0
2017-07-06,2.0
2017-07-07,25.0
2017-07-10,3.0
2017-07-11,2.0
2017-07-17,2.0
2017-07-19,5.0
2017-07-21,1.0
2017-07-24,1.0
2017-07-25,6.0
2017-08-01,1.0
2017-08-03,1.0
2017-08-08,3.0
2017-08-15,4.0
2017-08-16,1.0
2017-08-21,2.0
2017-08-25,1.0
2017-08-28,1.0
2017-09-06,2.0
2017-09-07,171.0
2017-09-08,68.0
2017-09-11,3.0
2017-09-12,10.0
2017-09-13,8.0
2017-09-14,2.0
2017-09-15,5.0
2017-09-18,21.0
2017-09-19,3.0
2017-09-23,1.0
2017-09-26,1.0
2017-09-28,1.0
2017-09-29,4.0
2017-09-30,12.0
2017-10-02,13.0
2017-10-09,4.0
2017-10-10,2.0
2017-10-16,1.0
2017-10-19,6.0
2017-10-23,7.0
2017-10-24,4.0
2017-10-25,2.0
2017-10-27,4.0
2017-10-28,11.0
2017-10-31,6.0
2017-11-06,1.0
2017-11-07,4.0
2017-11-08,4.0
2017-11-09,16.0
2017-11-14,6.0
2017-11-15,6.0
2017-11-16,3.0
2017-11-20,4.0
2017-11-21,11.0
2017-11-22,3.0
2017-11-24,1.0
2017-11-30,1.0
2017-12-04,20.0
2017-12-05,5.0
2017-12-06,3.0
2017-12-07,11.0
2017-12-09,1.0
2017-12-11,10.0
2017-12-12,21.0
2017-12-13,6.0
2017-12-15,1.0
2017-12-18,5.0
2017-12-19,4.0
2017-12-20,1.0
2017-12-21,1.0
2017-12-22,9.0
2017-12-26,8.0
2017-12-27,9.0
2017-12-28,2.0
2018-01-02,2.0
2018-01-03,1.0
2018-01-04,14.0
2018-01-08,11.0
2018-01-09,1.0
2018-01-10,3.0
2018-01-12,10.0
2018-01-13,2.0
2018-01-15,4.0
2018-01-16,51.0
2018-01-17,10.0
2018-01-18,4.0
2018-01-24,1.0
2018-01-27,2.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,5.0
2018-02-06,1.0
2018-02-08,3.0
2018-02-12,5.0
2018-02-13,3.0
2018-02-17,2.0
2018-02-20,3.0
2018-02-21,2.0
2018-02-24,2.0
2018-02-27,4.0
2018-02-28,34.0
2018-03-06,13.0
2018-03-07,3.0
2018-03-09,62.0
2018-03-10,3.0
2018-03-12,13.0
2018-03-13,15.0
2018-03-14,13.0
2018-03-16,3.0
2018-03-19,2.0
2018-03-20,15.0
2018-03-21,4.0
2018-03-22,1.0
2018-03-26,20.0
2018-03-28,16.0
2018-03-29,10.0
2018-03-30,49.0
