FinancialYear,Componend,Description,Quantity,UnitPrice,TotalPrice,ProductType,CusGroup,CustomerName,Date,Division,UnitofMeasure,Supplier,CATNo,Cluster,ProductGroup,Region,SalesPersonCode,CusType
2017-2018,02_ACHIVE,650LITERFUELTANKFORINCINERATOR,1,0,0,INS,GVT,GENERALHOSPITAL-AMPARA,6/2/2017,MED,PCS,VARIOUSPLACES,TANK_650L,MED-PROJECT,PROJECTS,REGION00,MED_ML,GVT
2017-2018,02_ACHIVE,BIOLABOEXATROL-N(NORMALLEVEL)10X5ML,4,27015.6,108062.4,CON,GVT,REGIONALDIRECTOROFHEALTHSERVICES-KEGALLE,4/4/2017,MED,PACK,BIOLABOSAS,95010,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,MAGNESIUM8*10ML,2,4385.1043,8770.21,CON,GVT,SIRIMAVOBANDARANAYAKEPEADIATRICHOSPITAL-PERADENIYA,4/5/2017,MED,PACK,THERMOELECTRONOY,981885,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,HDL-CHOLESTEROLDIRECTMETHOD200-250TEST,5,30668.113,153340.57,CON,GVT,DISTRICTGENERALHOSPITAL-MATALE,4/5/2017,MED,PACK,BIOLABOSAS,90206,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,BIOLABOEXATROL-N(NORMALLEVEL)10X5ML,2,16930.2957,33860.59,CON,GVT,DISTRICTGENERALHOSPITAL-MATALE,4/5/2017,MED,PACK,BIOLABOSAS,95010,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,BIOLABOEXATROL-P(PATHOLOGICALLEVEL)10X5ML,2,26604.7478,53209.5,CON,GVT,DISTRICTGENERALHOSPITAL-MATALE,4/5/2017,MED,PACK,BIOLABOSAS,95011,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,HDL/LDLCALIBRATOR2X2ML,1,12638.9826,12638.98,CON,GVT,DISTRICTGENERALHOSPITAL-MATALE,4/5/2017,MED,PACK,BIOLABOSAS,95506,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,HDL/LDL/CK-MBCONTROLSERALEVEL1-2X2ML,2,6652.0957,13304.19,CON,GVT,DISTRICTGENERALHOSPITAL-MATALE,4/5/2017,MED,PACK,BIOLABOSAS,95516,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,HDL/LDL/CK-MBCONTROLSERALEVEL2-2X2ML,2,6652.0957,13304.19,CON,GVT,DISTRICTGENERALHOSPITAL-MATALE,4/5/2017,MED,PACK,BIOLABOSAS,95526,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,REAGENTBOTTLECAP(WHITE),13,16,208,CON,GVT,DISTRICTGENERALHOSPITAL-MATALE,4/5/2017,MED,PCS,BIOMEDICA(PVT)LTD,BA31-20-41536,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,REAGENTBOTTLECAP(RED),4,16,64,CON,GVT,DISTRICTGENERALHOSPITAL-MATALE,4/5/2017,MED,PCS,BIOMEDICA(PVT)LTD,BA31-20-41640,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,GAMMAGT10X10ML,5,17052,85260,CON,GVT,TEACHINGHOSPITAL-KANDY,4/5/2017,MED,PACK,BIOLABOSAS,81210,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,CK-NAC(IFCC)20X3ML,5,19901.7391,99508.7,CON,GVT,TEACHINGHOSPITAL-KANDY,4/5/2017,MED,PACK,BIOLABOSAS,92207,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,BIOLABOEXATROL-N(NORMALLEVEL)10x5ML,10,27236.2609,272362.61,CON,GVT,TEACHINGHOSPITAL-KANDY,4/5/2017,MED,PACK,BIOLABOSAS,95010,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,BIOLABOEXATROL-P(PATHOLOGICALLEVEL)10X5ML,4,8378.4087,33513.63,CON,GVT,TEACHINGHOSPITAL-KANDY,4/5/2017,MED,PACK,BIOLABOSAS,95011,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,BIOLABOPAEDIATRICCONTROL3X3ML,10,19663.6348,196636.35,CON,GVT,TEACHINGHOSPITAL-KANDY,4/5/2017,MED,PACK,BIOLABOSAS,95403,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,SCAL3MLX10,3,11761.6174,35284.85,CON,GVT,TEACHINGHOSPITAL-KANDY,4/27/2017,MED,PACK,THERMOELECTRONOY,981831,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,WASHFLUID8x20ML,3,7101.7391,21305.22,CON,GVT,TEACHINGHOSPITAL-KANDY,4/27/2017,MED,PACK,THERMOELECTRONOY,981842,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,BICARBONATE4x4ML,32,17386.5043,556368.14,CON,GVT,TEACHINGHOSPITAL-KANDY,4/27/2017,MED,PACK,THERMOELECTRONOY,981888,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,SCAL3MLX10,3,12473.2087,37419.63,CON,GVT,TEACHINGHOSPITAL-PERADENIYA,4/27/2017,MED,PACK,THERMOELECTRONOY,981831,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,SCAL3MLX10,4,11761.6174,47046.47,CON,GVT,TEACHINGHOSPITAL-KANDY,4/27/2017,MED,PACK,THERMOELECTRONOY,981831,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,ISEPRIMESERUM10x5ML,2,9411,18822,CON,GVT,TEACHINGHOSPITAL-KANDY,4/27/2017,MED,PACK,THERMOELECTRONOY,981990,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,"CLEANINGSOLUTION,ACID100ML(formindray)BS300",5,735,3675,CON,GVT,DISTRICTGENERALHOSPITAL-MATALE,4/27/2017,MED,PCS,LOCALPURCHASE-MR.WEERAWARNE,G010-A,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,"CLEANINGSOLUTION,ALK100ml(FORmINDRAYBS300)",5,735,3675,CON,GVT,DISTRICTGENERALHOSPITAL-MATALE,4/27/2017,MED,PCS,LOCALPURCHASE-MR.WEERAWARNE,G010-B,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,PRINTERPAPERROLL50MM,200,148,29600,CON,GVT,REGIONALDIRECTOROFHEALTHSERVICES-KANDY,4/27/2017,MED,PCS,THERMALPAPER(PVT)LTD.,CAT_00138,MED-CLUSTER-03,HDU,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,SCAL3MLX10,1,12473.2087,12473.21,CON,GVT,SIRIMAVOBANDARANAYAKEPEADIATRICHOSPITAL-PERADENIYA,5/15/2017,MED,PACK,THERMOELECTRONOY,981831,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,"PIPETTETIPS,2-200UL",500,3.2,1600,CON,GVT,UNIVERSITYOFSRIJAYAWARDENAPURA-MEDICINE,4/5/2017,MED,PCS,LABBOXLABWARES.L.,TIPP-200-1K0,MED-CLUSTER-01A,BIOCHEMISTRY,MED-REGION09,MED_BD,GVT
2017-2018,02_ACHIVE,LEISHMAN’SSTAINPOWDER25G,2,1541,3082,CON,GVT,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,4/26/2017,MED,PCS,HIMEDIALABORATORIESPVT.LTD.,GRM949-25G,MED-CLUSTER-01A,MICROBIOLOGY,MED-REGION09,MED_BD,GVT
2017-2018,02_ACHIVE,"POTASSIUMFERROCYANIDETRIHYDRATE,PURE,500G",1,1765.2174,1765.22,CON,GVT,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,4/26/2017,MED,PCS,HIMEDIALABORATORIESPVT.LTD.,GRM626-500G,MED-CLUSTER-01A,MICROBIOLOGY,MED-REGION09,MED_BD,GVT
2017-2018,02_ACHIVE,SABOURAUDDEXTROASEAGAR500G,1,6857.9,6857.9,CON,GVT,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,4/26/2017,MED,PCS,HIMEDIALABORATORIESPVT.LTD.,M063-500G,MED-CLUSTER-01A,MICROBIOLOGY,MED-REGION09,MED_BD,GVT
2017-2018,02_ACHIVE,"MACCONKEYAGARW/OCV,NACLW/BILESALTS0.5%",2,6594,13188,CON,GVT,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,4/26/2017,MED,PCS,HIMEDIALABORATORIESPVT.LTD.,M082A-500G,MED-CLUSTER-01A,MICROBIOLOGY,MED-REGION09,MED_BD,GVT
2017-2018,02_ACHIVE,BLOODAGARBASENO2500G,2,6857.9,13715.8,CON,GVT,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,4/26/2017,MED,PCS,HIMEDIALABORATORIESPVT.LTD.,M834-500G,MED-CLUSTER-01A,MICROBIOLOGY,MED-REGION09,MED_BD,GVT
2017-2018,02_ACHIVE,TRIGLYCERIDES(GPO)10*100ML,3,93150.9,279452.7,CON,GVT,POLICEHEADQUARTERS-COLOMBO01,5/17/2017,MED,PACK,BIOLABOSAS,87319,MED-CLUSTER-01A,BIOCHEMISTRY,MED-REGION09,MED_BD,GVT
2017-2018,02_ACHIVE,D-DIMER,1,72948.7,72948.7,CON,GVT,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,5/23/2017,MED,PCS,HELENABIOSCIENCESEUROPE,5250,MED-CLUSTER-01A,BIOCHEMISTRY,MED-REGION09,MED_BD,GVT
2017-2018,02_ACHIVE,MINICAPPROTEIN(E)6,2,99145.21,198290.42,CON,GVT,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,5/23/2017,MED,PCS,PARCTECHNOLOGIQUELEONARDDEVINCI(SEBIA),2203,MED-CLUSTER-01A,BIOCHEMISTRY,MED-REGION09,MED_BD,GVT
2017-2018,02_ACHIVE,SERUM/URINEPROTEINELECTROPHORESISIMMUNOTYPINGANDHBA1CANALYSIS.FULLYAUTOMATEDANALYZER,1,5890000,5890000,INS,GVT,TEACHINGHOSPITAL-COLOMBOSOUTH,5/25/2017,MED,PCS,PARCTECHNOLOGIQUELEONARDDEVINCI(SEBIA),1227,MED-CLUSTER-01A,BIOCHEMISTRY,MED-REGION09,MED_BD,GVT
2017-2018,02_ACHIVE,3KVAISOLATION,1,0,0,INS,GVT,TEACHINGHOSPITAL-COLOMBOSOUTH,5/25/2017,MED,PCS,SOMEKA,3KVA_ISOLATION,MED-CLUSTER-01A,OTHER,MED-REGION09,MED_BD,GVT
2017-2018,02_ACHIVE,I5COMPUTERWITH19'MONITOR,1,0,0,INS,GVT,TEACHINGHOSPITAL-COLOMBOSOUTH,5/25/2017,MED,PCS,BASEHP(PVT)LTD,COMP_I5_19'_MONITOR,MED-CLUSTER-01A,OTHER,MED-REGION09,MED_BD,GVT
2017-2018,02_ACHIVE,HPDESKJETCOLOURPRINTER,1,0,0,INS,GVT,TEACHINGHOSPITAL-COLOMBOSOUTH,5/25/2017,MED,PCS,BASEHP(PVT)LTD,HP_D3835,MED-CLUSTER-01A,OTHER,MED-REGION09,MED_BD,GVT
