FinancialYear,Description,Quantity,UnitPrice,TotalPrice,ProductType,CustomerName,Date,UnitofMeasure,Supplier,CATNo,ProductGroup,Region,SalesPersonCode,CusType
2017-2018,650LITERFUELTANKFORINCINERATOR,1,0,0,INS,GENERALHOSPITAL-AMPARA,6/2/2017,PCS,VARIOUSPLACES,TANK_650L,PROJECTS,REGION00,MED_ML,GVT
2017-2018,BIOLABOEXATROL-N(NORMALLEVEL)10X5ML,4,27015.6,108062.4,CON,REGIONALDIRECTOROFHEALTHSERVICES-KEGALLE,4/4/2017,PACK,BIOLABOSAS,95010,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,MAGNESIUM8*10ML,2,4385.1043,8770.21,CON,SIRIMAVOBANDARANAYAKEPEADIATRICHOSPITAL-PERADENIYA,4/5/2017,PACK,THERMOELECTRONOY,981885,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,HDL-CHOLESTEROLDIRECTMETHOD200-250TEST,5,30668.113,153340.57,CON,DISTRICTGENERALHOSPITAL-MATALE,4/5/2017,PACK,BIOLABOSAS,90206,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,BIOLABOEXATROL-N(NORMALLEVEL)10X5ML,2,16930.2957,33860.59,CON,DISTRICTGENERALHOSPITAL-MATALE,4/5/2017,PACK,BIOLABOSAS,95010,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,BIOLABOEXATROL-P(PATHOLOGICALLEVEL)10X5ML,2,26604.7478,53209.5,CON,DISTRICTGENERALHOSPITAL-MATALE,4/5/2017,PACK,BIOLABOSAS,95011,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,HDL/LDLCALIBRATOR2X2ML,1,12638.9826,12638.98,CON,DISTRICTGENERALHOSPITAL-MATALE,4/5/2017,PACK,BIOLABOSAS,95506,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,HDL/LDL/CK-MBCONTROLSERALEVEL1-2X2ML,2,6652.0957,13304.19,CON,DISTRICTGENERALHOSPITAL-MATALE,4/5/2017,PACK,BIOLABOSAS,95516,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,HDL/LDL/CK-MBCONTROLSERALEVEL2-2X2ML,2,6652.0957,13304.19,CON,DISTRICTGENERALHOSPITAL-MATALE,4/5/2017,PACK,BIOLABOSAS,95526,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,REAGENTBOTTLECAP(WHITE),13,16,208,CON,DISTRICTGENERALHOSPITAL-MATALE,4/5/2017,PCS,BIOMEDICA(PVT)LTD,BA31-20-41536,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
