Customer,Average
18021-18350,8288.88888888889
18506,7676.92307692308
185560,6760.3125
050-110,3000
TIPP-200-1K0,2000
VAC_K2EDTA_L,2000
078.03.001,1166.66666666667
PCRP-015-500,619.21052631579
592001_67.742,500.5
19_000_02,465.714285714286
BAR_CODE_2X1,300
BA31-30-41635,281.375
ECG2_80MMX20M,250
CAT_00138,200
PCRP-015-5K0,200
078.03.002,175
CAT_00135,173.333333333333
ECG_50MMX20M,162.8
989220,99.075
9205,87.75
H-14PARA,82.6666666666667
105-000403-00,50.8
31146-1KG,50
GECG_03,50
ECG_63MMX20M,50
9203,50
GRM120-5G,50
A11-000136,43.0487804878049
105-001974-00,35.4
105-000417-00,31.8846153846154
A11-000128,29.4130434782609
B-175,26.5
105-000418-00,26.2982456140351
105-000415-00,26.0833333333333
CAT_00121,25
FD259-5VL,24
I4-15R,21.6666666666667
A12-000134,21.125
043-000640-00,20
043-000639-00,20
23-1001,20
105-004045-00,18.7619047619048
A12-000132,17.4
105-003724-00,17.0975609756098
A12-000047,16.9574468085106
105-004307-00,14.7045454545455
CAT_00274,13
105-000416-00,13
NIBP_CM-1203,13
