Customer,Average
SRILANKANAVYHEADQUARTERS,2403.48125
BASEHOSPITAL-AVISSAWELLA,1607.65277777778
REGIONALDIRECTOROFHEALTHSERVICES-BATTICALOA,1136.43902439024
TEACHINGHOSPITAL-BATTICALOA,724.85520361991
BASEHOSPITAL-HOMAGAMA,540.381395348837
SRILANKAAIRFORCE,534.663865546219
REGIONALDIRECTOROFHEALTHSERVICES-HAMBANTOTA,360.664383561644
PROVINCIALDIRECTOROFHEALTHSERVICES-KURUNEGALA,311.462068965517
GENERALHOSPITAL-VAVUNIYA,292.092592592593
BASEHOSPITAL-HORANA,288.771144278607
DISTRICTGENERALHOSPITAL-NAWALAPITIYA,217.84555984556
SECONDHEALTHSECTORDEVELOPMENTPROJECT(SHSDP)-COMPONENTII,200.666666666667
GENERALHOSPITAL-AMPARA,199.16
REGIONALDIRECTOROFHEALTHSERVICES-COLOMBO10,136.255813953488
REGIONALDIRECTOROFHEALTHSERVICE-VAVUNIYA,125.212121212121
REGIONALDIRECTOROFHEALTHSERVICES-MATALE,117.301369863014
REGIONALDIRECTOROFHEALTHSERVICES-ANURADHAPURA,109.776119402985
TEACHINGHOSPITAL-JAFFNA,106.503355704698
GENERALHOSPITAL(TEACHING)-KEGALLE,88.063829787234
DISTRICTGENERALHOSPITAL-EMBILIPITIYA,82
